Faixas,Percentual de Repartição dos Tributos,col2,col3,col4,col5,col6
,IRPJ,CSLL,CBS,CPP,ISS (*),IBS
1ª Faixa,"4,00%","3,50%","15,60%","43,40%","20,10%","13,40%"
2ª Faixa,"4,00%","3,50%","17,10%","43,40%","19,20%","12,80%"
3ª Faixa,"4,00%","3,50%","16,60%","43,40%","19,50%","13,00%"
4ª Faixa,"4,00%","3,50%","16,60%","43,40%","19,50%","13,00%"
5ª Faixa,"4,00%","3,50%","15,60%","43,40%","20,10% (*)","13,40%"
6ª Faixa,"35,00%","15,00%","19,50%","30,50%",,
"(*) O percentual efetivo máximo devido ao ISS será de 5%, transferindo-se a diferença, de forma proporcional, aos tributos federais da mesma faixa de receita
bruta anual. Sendo assim, na 5ª faixa, quando a alíquota efetiva for superior a 14,92537%, a repartição será:",,,,,,
,IRPJ,CSLL,CBS,CPP,ISS,IBS
"5ª Faixa, com
alíquota efetiva
superior a 14,93%","(Alíquota efetiva -
5%) x 6,02%","(Alíquota efetiva -
5%) x 5,26%","(Alíquota efetiva -
5%) x 23,46%","(Alíquota efetiva - 5%) x
65,26%","Percentual de ISS
fixo em 3,0%","Percentual de ISS
fixo em 2,0%"
